SampleName,site,In,Out,middate,dxs,dD,unc,dO,unc,amount [mL],SOI in (monthly),SOI out (monthly),SOI middate (monthly),SOI average (monthly),PNA in (daily),PNA out (daily),PNA middate (daily),PNA average (daily),AO in (daily),AO out (daily),AO middate (daily),AO average (daily)
TF0007SW,CA42,39637,39644,39640.5,-3.288385,-52.807973,1.556329335,-6.1899485,0.23383755,194.6,0.2,0.2,0.2,0.2,-0.489,-0.645,-0.693,-0.609,0.023,1.123,-0.054,0.364
TF4766SW,CA42,39756,39764,39760,8.8438195,-21.8851685,0.987149938,-3.8411235,0.191483681,324.9,1.64,1.64,1.64,1.64,0.126,0.731,0.732,0.529666667,-0.045,1.082,0.078,0.371666667
TF5203SW,CA42,39777,39784,39780.5,11.48647467,-124.011436,0.77184584,-16.93723883,0.254898019,3858.3,1.64,1.43,1.64,1.57,0.924,0.202,1.026,0.717333333,-0.785,-1.431,-1.373,-1.196333333
TF6096SW,CA42,39791,39798,39794.5,20.0060002,-65.4076318,1.177820869,-10.676704,0.255415348,4094.4,1.43,1.43,1.43,1.43,0.31,-1.229,-1.072,-0.663666667,0.851,2.21,1.283,1.448
TF6093SW,CA42,39798,39806,39802,10.63186917,-81.7436135,1.096482102,-11.54693533,0.210069036,1751.5,1.43,1.43,1.43,1.43,-1.229,-1.23,-0.794,-1.084333333,2.21,2.099,2.258,2.189
TF6480SW,CA42,39806,39812,39809,13.26651073,-43.6280546,1.032163262,-7.111820667,0.198761163,2525.4,1.43,1.43,1.43,1.43,-1.23,-0.426,-0.782,-0.812666667,2.099,-1.615,0.017,0.167
TF7325SW,CA42,39833.46875,39840.75694,39837.11285,12.9095353,-49.4996047,1.175201259,-7.8011425,0.211966979,1046,0.85,0.85,0.85,0.85,0.797,-0.792,-0.609,-0.201333333,0.443,1.908,1.057,1.136
TF7952SW,CA42,39847.74306,39856.59028,39852.16667,12.1676604,-46.0275876,1.227597247,-7.274406,0.233788366,9984.6,1.37,1.37,1.37,1.37,0.23,-0.617,-0.576,-0.321,-3.178,-2.165,0.208,-1.711666667
TF8455SW,CA42,39856.59375,39862.53125,39859.5625,18.03865917,-43.9680155,0.998407232,-7.750834333,0.206053391,4617.6,1.37,1.37,1.37,1.37,-0.617,0.239,-0.205,-0.194333333,-2.165,-0.702,-1.493,-1.453333333
TF8999SW,CA42,39868.625,39882.64236,39875.63368,18.7170549,-21.9429651,1.969612906,-5.0825025,0.3341766,949.5,1.37,-0.21,-0.21,0.316666667,-0.814,-1.037,-0.2,-0.683666667,0.383,-0.694,1.698,0.462333333
TF9316SW,CA42,39889.57639,39897.58681,39893.5816,13.50461927,-44.4800674,0.814165217,-7.248085833,0.239541228,1165.4,-0.21,-0.21,-0.21,-0.21,-0.308,0.044,-0.022,-0.095333333,-0.523,0.044,-0.251,-0.243333333
TG6839SW,CA42,40085.51736,40101.59028,40093.55382,#N/A,#N/A,4.48235,#N/A,3.083348,3540.5,0.35,-1.66,-1.66,-0.99,1.998,0.808,-0.753,0.684333333,0.33,-0.768,-1.285,-0.574333333
TG8712SW,CA42,40141.72222,40148.625,40145.17361,#N/A,#N/A,4.48235,#N/A,3.083348,327.9,-0.67,-0.95,-0.67,-0.763333333,0.977,1.137,0.753,0.955666667,0.383,-0.227,0.055,0.070333333
TG9210SW,CA42,40148.62847,40155.62153,40152.125,#N/A,#N/A,4.48235,#N/A,3.083348,2439.2,-0.95,-0.95,-0.95,-0.95,1.137,-0.286,0.722,0.524333333,-0.227,-0.833,-1.647,-0.902333333
TG9164SW,CA42,40155.625,40162.64236,40159.13368,#N/A,#N/A,4.48235,#N/A,3.083348,6668.4,-0.95,-0.95,-0.95,-0.95,-0.286,-0.224,-0.829,-0.446333333,-0.833,-3.89,-3.767,-2.83
TG9390SW,CA42,40162.64583,40169.72917,40166.1875,#N/A,#N/A,4.48235,#N/A,3.083348,292.5,-0.95,-0.95,-0.95,-0.95,-0.224,0.384,0.549,0.236333333,-3.89,-5.503,-4.651,-4.681333333
TH5225SW,CA42,40323.54514,40332.46528,0,9.914697133,-34.15478447,1.130134948,-5.5086852,0.34253321,30.4,0.85,0.24,#N/A,#N/A,-1.009,0.535,#N/A,#N/A,-1.062,-0.671,#N/A,#N/A
TH9820SW,CA42,40449,40456,40452.5,3.9133692,-31.46322893,0.740806317,-4.422074767,0.382981723,423.7,2.44,1.8,1.8,2.013333333,-2.53,1.692,1.302,0.154666667,0.482,1.732,-0.021,0.731
TH9816SW,CA42,40456,40463,40459.5,16.57614893,-19.06233133,1.075904736,-4.454810033,0.215728997,671.8,1.8,1.8,1.8,1.8,1.692,0.368,1.367,1.142333333,1.732,-0.733,-1.639,-0.213333333
TI0530SW,CA42,40463,40470,40466.5,13.4413272,-12.85223653,1.402175809,-3.286695467,0.368674653,75.5,1.8,1.8,1.8,1.8,0.368,0.755,0.313,0.478666667,-0.733,-1.132,-0.022,-0.629
TI0531SW,CA42,40470,40477,40473.5,15.384147,-16.09361407,0.977425701,-3.934720133,0.414142488,352.3,1.8,1.8,1.8,1.8,0.755,-0.11,1.101,0.582,-1.132,-0.088,-2.17,-1.13
TI0653SW,CA42,40477,40484,40480.5,-17.17010767,,-3.745657267,,3.083348,209.3,1.8,1.62,1.8,1.74,-0.11,1.227,0.474,0.530333333,-0.088,2.381,0.826,1.039666667
TI1758SW,CA42,40484,40491,40487.5,15.68726527,-23.56411953,0.905863676,-4.9064231,0.269966665,131.9,1.62,1.62,1.62,1.62,1.227,0.572,1.408,1.069,2.381,-0.768,1.532,1.048333333
